ac_no,ac_name,district,reservation,pop_total,pop_male,pop_female,pop_0_6,sc_pop,st_pop,literates,illiterates,households,total_workers,main_workers,cultivators,agri_labourers,hh_industry_workers,other_workers,sex_ratio,child_ratio_0_6,sc_pct,st_pct,literacy_pct,female_literacy_pct,workforce_participation_pct,agri_worker_share_pct,other_worker_share_pct,electors_2021,polling_pct_2021,nota_2021,total_valid_votes_2021,candidates_2021,winner_2021,winner_party_2021,winner_sex_2021,winner_age_2021,winner_vote_pct_2021,electors_2011,polling_pct_2011,nfhs_under15_pct,nfhs_sex_ratio,nfhs_female_school_pct,nfhs_tfr
268,purbasthali dakshin,barddhaman,GEN,278682,142902,135780,29607,69476,20870,188488,90193,66256,114227,88353,13551,29976,16051,28774,950.0,10.62,24.93,7.49,75.68,69.3,40.99,38.11,25.19,248533,86.68,1559,213791,6,1 SWAPAN DEBNATH,AITC,MALE,70,49.08,191256,90.49,,,,
269,purbasthali uttar,barddhaman,GEN,293119,150835,142284,32484,74568,10054,184862,108257,69205,116807,91123,19634,39991,7625,23873,943.0,11.08,25.44,3.43,70.93,65.33,39.85,51.05,20.44,252626,84.12,1347,210993,7,1 TAPAN CHATTERJEE,AITC,MALE,66,43.52,189373,88.09,,,,
270,katwa,barddhaman,GEN,300583,154279,146303,30604,82709,2355,205589,94994,70222,107184,93419,14634,24337,5011,49436,948.0,10.18,27.52,0.78,76.15,71.35,35.66,36.36,46.12,267738,84.13,2350,222679,6,1 Rabindranath Chatterjee,AITC,MALE,71,48.07,212236,87.87,,,,
271,ketugram,barddhaman,GEN,349042,179892,169149,42216,103731,3978,205979,143063,79517,122198,94976,25908,41723,3570,23773,940.0,12.09,29.72,1.14,67.13,61.69,35.01,55.35,19.45,258310,83.53,4072,211697,6,1 Sekh Sahonawez,AITC,MALE,62,46.55,198029,85.98,,,,
272,mangalkot,barddhaman,GEN,310383,158933,151449,36701,98294,6973,187033,123349,71515,115415,86010,24499,41052,2532,17926,953.0,11.82,31.67,2.25,68.34,62.42,37.18,56.8,15.53,251003,86.68,3816,213503,6,1 Apurba Chowdhury (Achal),AITC,MALE,55,49.51,202627,86.91,,,,
273,ausgram,barddhaman,GEN,316053,161081,154971,35451,115984,39913,196843,119210,76833,142344,81734,17889,35570,2226,26049,962.0,11.22,36.7,12.63,70.15,62.86,45.04,37.56,18.3,246956,88.04,4037,213041,6,1 ABHEDANANDA THANDER,AITC,MALE,58,46.25,196219,88.79,,,,
274,galsi,barddhaman,GEN,325025,167039,157985,34478,110715,21399,215035,109989,76706,140101,84148,16003,27902,1633,38609,946.0,10.61,34.06,6.58,74.01,66.62,43.1,31.34,27.56,256642,86.77,2247,220284,5,1 NEPAL GHORUI,AITC,MALE,43,49.21,204589,89.36,,,,
275,pandabeswar,barddhaman,GEN,246819,129139,117680,29483,75749,17028,158794,88025,52815,79609,54862,3432,5686,1094,44648,911.0,11.95,30.69,6.9,73.06,63.6,32.25,11.46,56.08,211960,77.68,2727,161556,9,1 NARENDRANATH CHAKRABORTY,AITC,MALE,57,44.99,168065,80.51,,,,
276,durgapur purba,barddhaman,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,256531,75.21,2609,190046,10,1 PRADIP MAZUMDAR,AITC,MALE,74,41.16,202449,85.82,,,,
277,durgapur paschim,barddhaman,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,269303,73.15,2611,194278,11,1 LAKSHMAN CHANDRA GHORUI,BJP,MALE,49,46.31,209944,84.91,,,,
278,raniganj,barddhaman,GEN,322292,168658,153633,37140,76059,11305,221263,101028,66554,102652,81685,1231,1194,1579,77679,911.0,11.52,23.6,3.51,77.6,69.81,31.85,2.36,75.67,250813,72.67,1994,180205,8,1 TAPAS BANERJEE,AITC,MALE,67,42.9,197129,78.35,,,,
279,jamuria,barddhaman,GEN,291716,152156,139560,37046,82204,24681,180685,111031,57807,91158,62493,4922,6875,1009,49685,917.0,12.7,28.18,8.46,70.95,60.69,31.25,12.94,54.5,221419,75.39,2346,164350,7,1 HARERAM SINGH,AITC,MALE,67,42.59,175316,78.24,,,,
280,asansol dakshin,barddhaman,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,274245,71.08,3442,191271,6,1 AGNIMITRA PAUL,BJP,FEMALE,48,45.13,204435,78.69,,,,
281,asansol uttar,barddhaman,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,275796,70.04,3321,189559,8,1 Ghatak Moloy,AITC,MALE,65,52.32,201174,76.86,,,,
282,kulti,barddhaman,GEN,313809,163193,150616,35385,69290,13622,209952,103857,58358,94365,74722,1069,814,1350,71489,923.0,11.28,22.08,4.34,75.41,67.34,30.07,2.0,75.76,251671,69.51,3541,171214,7,1 AJAY KUMAR PODDAR,BJP,MALE,63,46.41,187988,73.66,,,,
283,barbani,barddhaman,GEN,281121,144829,136292,32464,72445,34311,187106,94015,59268,90928,65854,4180,5014,1048,55612,941.0,11.55,25.77,12.21,75.25,66.44,32.34,10.11,61.16,225596,75.19,3024,166168,7,1 BIDHAN UPADHYAY,AITC,MALE,51,52.26,185113,80.32,,,,
284,dubrajpur,birbhum,GEN,303417,156030,147387,38737,103505,8726,182010,121407,67497,111224,73492,17469,24187,2529,29305,945.0,12.77,34.11,2.88,68.77,59.83,36.66,37.45,26.35,241742,84.75,3148,201442,6,1 Anup Kumar Saha,BJP,MALE,34,47.94,181999,86.86,25.7,1033.0,,
285,suri,birbhum,GEN,331935,169403,162532,39481,104195,27986,216791,115144,75768,130825,89268,14530,20919,3200,50619,959.0,11.89,31.39,8.43,74.13,67.26,39.41,27.1,38.69,263557,83.09,1806,216755,7,1 BIKASH ROYCHOUDHURY,AITC,MALE,68,48.43,199153,86.01,25.7,1033.0,,
286,bolpur,birbhum,GEN,307080,156621,150459,35295,72892,26754,210353,96727,71448,117910,78699,13091,20191,2339,43078,961.0,11.49,23.74,8.71,77.4,71.39,38.4,28.23,36.53,273896,84.22,3316,226923,10,1 SINHA CHANDRANATH,AITC,MALE,58,50.57,201791,87.79,25.7,1033.0,,
287,nanoor,birbhum,GEN,370367,189175,181192,43459,119423,33353,227298,143069,87293,146171,106641,27269,46689,2594,30088,958.0,11.73,32.24,9.01,69.53,63.45,39.47,50.6,20.58,276777,85.06,2134,233179,5,1 BIDHAN CHANDRA MAJHI,AITC,MALE,40,47.64,218317,85.49,25.7,1033.0,,
288,labhpur,birbhum,GEN,293957,150748,143209,34032,95902,25256,187723,106234,69125,113194,69789,20124,29956,1792,17916,950.0,11.58,32.62,8.59,72.22,65.42,38.51,44.24,15.83,240044,88.44,3049,208970,8,1 ABHIJIT SINHA (RANA),AITC,MALE,54,51.14,186922,88.31,25.7,1033.0,,
289,sainthia,birbhum,GEN,309187,158540,150647,37578,98544,31292,194771,114416,72100,121793,83846,16974,30685,2990,33197,950.0,12.15,31.87,10.12,71.71,65.01,39.39,39.13,27.26,255959,86.73,1727,220124,6,1 NILABATI SAHA,AITC,FEMALE,50,49.84,190105,86.96,25.7,1033.0,,
290,mayureswar,birbhum,GEN,286991,146609,140382,35091,93330,19781,179493,107498,69004,123275,79039,22415,36197,2169,18258,958.0,12.23,32.52,6.89,71.26,63.79,42.95,47.55,14.81,230682,86.67,2777,196622,5,1 ABHIJIT ROY,AITC,MALE,52,50.36,182588,87.38,25.7,1033.0,,
291,rampurhat,birbhum,GEN,330751,168417,162334,43556,91216,47930,209054,121697,75597,127213,90487,15500,26888,1911,46188,964.0,13.17,27.58,14.49,72.79,66.06,38.46,33.32,36.31,260812,83.48,3369,213942,7,1 ASISH BANERJEE,AITC,MALE,69,47.52,190293,86.19,25.7,1033.0,,
292,hansan,birbhum,GEN,310180,158941,151239,42890,87515,1468,189983,120197,79336,109077,75160,14212,41556,4635,14757,952.0,13.83,28.21,0.47,71.08,64.66,35.17,51.13,13.53,248113,85.11,2418,208186,6,1 Dr. ASOK KUMAR CHATTOPADHYAY,AITC,MALE,63,51.42,181254,86.69,25.7,1033.0,,
293,nalhati,birbhum,GEN,321532,164801,156730,44644,95275,12791,204140,117391,74996,111790,79173,17863,33737,1885,25686,951.0,13.89,29.63,3.98,73.73,68.31,34.77,46.16,22.98,244837,84.94,1891,205796,10,1 RAJENDRA PRASAD SINGH (RAJU SINGH),AITC,MALE,48,56.54,176584,87.88,25.7,1033.0,,
294,murarai,birbhum,GEN,343035,174619,168415,54903,70664,11694,159232,183802,76718,122098,88470,12279,39663,8455,28072,964.0,16.01,20.6,3.41,55.26,50.43,35.59,42.54,22.99,263200,82.82,1501,216408,7,1 DR MOSARRAF HOSSAIN,AITC,MALE,58,67.23,189414,86.07,25.7,1033.0,,
